Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00141080550252965,-0.000126717317661465,0.0266358869045288,0,0,0,0.466087997896649,0.000396844632127846,1.04630118901917E-06,-8.80565519227226E-07,0.000263606572415257,-2.59150931810872E-07,0.000611115845747516,0,0,0,0,0,0,package://openduckpro2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/base_link.STL,,base-5,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg_yaw_link,-0.000168509325045557,0.000746362761765561,-0.0417397454040535,0,0,0,0.159481458976703,6.67501914165246E-05,5.21885560766328E-07,-1.85423692397324E-08,0.000135192138148112,6.91130413994446E-09,8.31283727825867E-05,0,0,0,0,0,0,package://openduckpro2/meshes/left_leg_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/left_leg_yaw_link.STL,,12-14,left_leg_yaw_link,A_left_leg_yaw_joint,left_leg_yaw_joint,revolute,0,0.075,-0.0005,0,0,1.5666,base_link,0,0,1,17,21,-1,1,,,,,,,,
left_leg_roll_link,0.000744845290186466,0.0001750947555509,-0.0417397453817851,0,0,0,0.159481459116474,0.000135196017620172,8.26648362577757E-08,6.74728928822481E-09,6.67463119883635E-05,1.86026897977517E-08,8.31283728138571E-05,0,0,0,0,0,0,package://openduckpro2/meshes/left_leg_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/left_leg_roll_link.STL,,12-15,left_leg_roll_link,A_left_leg_roll_joint,left_leg_roll_joint,revolute,0.00014573,0.016499,-0.049,1.5708,0,-0.0088323,left_leg_yaw_link,0,0,1,17,21,-1,1,,,,,,,,
left_leg_pitch_link,-0.0476473292738206,-0.0769900006807549,0.00428321304072461,0,0,0,0.189626350495801,0.00015583805433393,-3.66568316701652E-05,-4.68893686780295E-08,0.000102848708135283,-6.85959165541094E-08,0.000245430361565113,0,0,0,0,0,0,package://openduckpro2/meshes/left_leg_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/left_leg_pitch_link.STL,,3-4R-1,left_leg_pitch_link,A_left_leg_pitch_joint,left_leg_pitch_joint,revolute,0.0165,0,-0.049,3.1416,-1.5708,0,left_leg_roll_link,0,0,1,17,21,-1,1,,,,,,,,
left_knee_pitch_link,0.0769900006831681,-0.0476473292752241,0.00428321304107685,0,0,0,0.189626350508777,0.000102848708139646,3.66568316693349E-05,6.85959159440624E-08,0.000155838054341943,-4.68893681609955E-08,0.000245430361577132,0,0,0,0,0,0,package://openduckpro2/meshes/left_knee_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/left_knee_pitch_link.STL,,3-4R-2,left_knee_pitch_link,A_left_knee_pitch_joint,left_knee_pitch_joint,revolute,-0.06,-0.10392,-0.0095,0,0,0,left_leg_pitch_link,0,0,1,17,21,-1,1,,,,,,,,
left_ankle_pitch_link,-0.000135018905672298,-0.0514949406389236,0.0148389070782686,0,0,0,0.168303519607394,3.71778285125984E-05,1.93928985499164E-10,4.94841847509467E-12,0.000324487245871194,-2.23633727698721E-07,0.000321330165490834,0,0,0,0,0,0,package://openduckpro2/meshes/left_ankle_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/left_ankle_pitch_link.STL,,zu_asm-2,left_ankle_pitch_link,A_left_ankle_pitch_joint,left_ankle_pitch_joint,revolute,0.10392,-0.06,-0.0095,0,0,0,left_knee_pitch_link,0,0,1,17,21,-1,1,,,,,,,,
right_leg_yaw_link,-0.000175392332125324,0.000744775332985191,-0.0417397454016966,0,0,0,0.159481458927529,6.67463889361649E-05,-1.1001104297813E-07,-1.86053801737987E-08,0.000135195940563367,6.73983219524717E-09,8.31283727599565E-05,0,0,0,0,0,0,package://openduckpro2/meshes/right_leg_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/right_leg_yaw_link.STL,,12-16,right_leg_yaw_link,A_right_leg_yaw_joint,right_leg_yaw_joint,revolute,0,-0.075,-0.0005,0,0,1.5666,base_link,0,0,1,17,21,-1,1,,,,,,,,
right_leg_roll_link,-0.000744845341959371,-0.000175094773280884,-0.0417397454013599,0,0,0,0.159481458927176,0.000135196017537777,8.26648258306443E-08,-6.74726577402375E-09,6.67463119597171E-05,-1.86026863067884E-08,8.31283727596173E-05,0,0,0,0,0,0,package://openduckpro2/meshes/right_leg_roll_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/right_leg_roll_link.STL,,12-17,right_leg_roll_link,A_right_leg_roll_joint,right_leg_roll_joint,revolute,0,0.0165,-0.049,1.5708,0,0.00039951,right_leg_yaw_link,0,0,1,17,21,-1,1,,,,,,,,
right_leg_pitch_link,0.0477878331195739,-0.0772345348408712,0.00428321303780235,0,0,0,0.189626350392477,0.000155835916296518,3.66580779385804E-05,-3.56489027013333E-08,0.000102850846080287,7.50544362045785E-08,0.000245430361476209,0,0,0,0,0,0,package://openduckpro2/meshes/right_leg_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/right_leg_pitch_link.STL,,3-4_asm-4,right_leg_pitch_link,A_right_leg_pitch_joint,right_leg_pitch_joint,revolute,-0.0165,0,-0.049,-1.5774,1.5708,-1.5775,right_leg_roll_link,0,0,1,17,21,-1,1,,,,,,,,
right_knee_pitch_link,-0.0772345348406682,-0.0477878331194861,0.00428321303775761,0,0,0,0.189626350390818,0.000102850846079458,-3.66580779385033E-05,7.50544362280073E-08,0.00015583591629585,3.56489027176099E-08,0.000245430361474754,0,0,0,0,0,0,package://openduckpro2/meshes/right_knee_pitch_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://openduckpro2/meshes/right_knee_pitch_link.STL,,3-4_asm-5,right_knee_pitch_link,A_right_knee_pitch_joint,right_knee_pitch_joint,revolute,0.06,-0.10392,-0.0095,0,0,0,right_leg_pitch_link,0,0,1,17,21,-1,1,,,,,,,,
